
IRN,Accession Number,Previous Number(s),Accession Date,Number of Parts,Title,Object Type,Date Created,Culture or People,Creation Location,Medium,Support,Materials,Dimensions,Credit Line,Rights,Provenance,URL
    "1105","1989.1569","TR6937/1445 | E84.43","",1,"bowl","bowls","late 19th century","Benin Kingdom; Edo people","Nigeria","gold","brass","brass with gold covering","9 in.","Gift of Mr. and Mrs. Harrison Eiteljorg","Public Domain","(Christie's London) sold on June 25, 1984 to Harrison Eiteljorg [1903-1997] of Indianapolis; donated to the IMA 1989"," http://collection.imamuseum.org/artwork/29429/"
"3266","1989.823","TR6937/664 | E76.17 | E2263","1990-01-18",1,"altar ram's head (uhmwogho)","sculptures","20th century","Benin Kingdom; Edo people","Nigeria","wood; coconut shell","wood","wood, coconut shell","13-3/4 in.","Gift of Mr. and Mrs. Harrison Eiteljorg","No Known Rights Holder","(Mamadou Koita, New York, New York); sold on 12 June 1976 to Harrison Eiteljorg [1903-1997] of Indianapolis, Indiana; given to the Indianapolis Museum of Art at Newfields in 1989."," http://collection.imamuseum.org/artwork/29395/"
"4056","1992.61","TR7715","1992-07-01",1,"lid in the form of a leopard head","lids","mid-15th century - mid-17th century","Benin Kingdom; Edo people","Nigeria","","brass","brass","7-3/4 x 4-1/4 x 2-1/2 in.","Gift of the Alliance of the Indianapolis Museum of Art","Public Domain","(Merton Simpson Gallery, Inc., New York, New York); purchased by the Indianapolis Museum of Art at Newfields, Indianapolis, Indiana in 1992."," http://collection.imamuseum.org/artwork/29427/"
"7010","1989.831","TR6937/672 | E87.11","1990-01-18",1,"face mask for Ekpo association","masks","1920-1950","Benin Kingdom; Edo people","Nigeria","pigment","wood","wood, pigment","14-1/16 in.","Gift of Mr. and Mrs. Harrison Eiteljorg","No Known Rights Holder","(Jerry Mulholland, Cincinnati, Ohio); sold on 16 March 1987 to Harrison Eiteljorg [1903-1997] of Indianapolis, Indiana; given to the Indianapolis Museum of Art at Newfields in 1989."," http://collection.imamuseum.org/artwork/29302/"
"8019","1996.322","TR8682","1996-12-19",1,"pendant with horse and rider","pendants","17th-19th centuries","Benin Kingdom; Edo people","Nigeria","","brass","brass","8-1/8 x 6-1/4 x 3/4 in.","E. Hardey Adriance Fine Arts Acquisition Fund in memory of Marguerite Hardey Adriance","Public Domain","(The Grayson Gallery, Inc., Chicago, Illinois); purchased by the Indianapolis Museum of Art at Newfields, Indianapolis, Indiana in 1996."," http://collection.imamuseum.org/artwork/30245/"
"8591","1989.821","TR6937/660 | E77.438","1990-01-18",1,"head of queen mother","sculptures","late 18th century","Benin Kingdom; Edo people","Nigeria","iron","brass","brass, iron","17-1/8 in.","Gift of Mr. and Mrs. Harrison Eiteljorg","Public Domain","(W.D. Webster [1863-1913], England); Pitt-Rivers Museum, Farnham, Dorset, England; Charles Alfred Marius Ratton [1895-1986] Paris, France; (Papa Diop [1948-2012], Los Angeles, CA and Robert Jones, Indianapolis) {1} sold on December 14, 1977 to Harrison Eitlejorg [1903-1997] of Indianapolis; donated to the IMA 1989 

{1} Robert Jones also sold under the name Robert Fitzgerald"," http://collection.imamuseum.org/artwork/40372/"
"10171","1995.125","TR8477/11","1995-12-21",1,"face mask","masks","1850-1897","Benin Kingdom; Edo people","Nigeria","pigment","wood","wood, pigment","12 x 8-1/2 x 9-1/2 in.","Gift of Mr. and Mrs. Harrison Eiteljorg","Public Domain","Mr. and Mrs. Harrison Eiteljorg, Indianapolis, Indiana; given to the Indianapolis Museum of Art at Newfields in 1995."," http://collection.imamuseum.org/artwork/2787/"
"13946","1989.790","TR6937/629 | E81.16","1990-01-18",1,"bell","sculptures; bells","20th century","Benin; Edo people","Nigeria","","brass","brass","5-3/4 in.","Gift of Mr. and Mrs. Harrison Eiteljorg","No Known Rights Holder","Collection of the Pitt-Rivers Museum Oxford, England before 1900...(Thomas Slater, Indianapolis) sold on July 7, 1981 to Harrison Eiteljorg [1903-1997] of Indianapolis; donated to the IMA 1989"," http://collection.imamuseum.org/artwork/14511/"
"14037","1989.816","TR6937/655 | E84.57","1990-01-18",1,"female figure","ceremonial objects; sculptures; figures","1850-1897","Benin Kingdom; Edo people","Nigeria","coconut shell","ivory","ivory, coconut shell","10-7/8 in.","Gift of Mr. and Mrs. Harrison Eiteljorg","Public Domain","(Thomas Slater, Indianapolis, Indiana) sold on 25 October 1984 to Harrison Eiteljorg [1903-1997] of Indianapolis, Indiana; given to the Indianapolis Museum of Art at Newfields in 1989."," http://collection.imamuseum.org/artwork/28966/"
"17433","S6749.88.3","TR6749/3","1988-09-29",1,"seated human figure","sculptures","20th century","Edo; Benin","Nigeria","","brass","cast brass","17 in.","Gift of Butler University","No Known Rights Holder","Butler University, Indianapolis, Indiana; given to the Indianapolis Museum of Art at Newfields in 1988."," http://collection.imamuseum.org/artwork/3171/"
