party_id,other_name,sort_order
1,"Fiscus, Charles Joseph",1
2,Leslie Anne Anderson,1
3,Hiroshige,1
3,Hiroshige Utagawa,2
3,Ando Hiroshige,3
3,Utagawa Hir^oshige,4
3,Andō Hiroshige  安藤広重,5
4,Hoeido,1
6,"Hokusai, Katsushika",1
6,Hokusai,2
6,Shunro,3
6,Sori,4
6,Kako,5
6,Tatsumasa,6
6,Gakyojin,7
6,Taito,8
6,Tichi,9
6,Manji,10
6,Tokitaro,11
6,Katsushika Hokusai,12
11,Francois Delarue,1
13,Robert Clark,1
13,Bob Indiana,2
13,Bob Clark,3
14,Lippincott Foundry,1
14,"Lippincott's, LLC",2
21,Wayman Elbridge Adams,1
