object_id,emu_irn,dagwood_id,publish,status,accession_number,previous_id,date_accessioned_year,date_accessioned_month,date_accessioned_day,title,series_title,portfolio_title,date_created,date_created_earliest,date_created_latest,date_designed,date_designed_earliest,date_designed_latest,period,dynasty,record_type,medium_support,technique,style,mark_description,dimensions,credit_line,rights_acknowledgement,provenance,department,on_view,location_id,parent_irn,deaccession_method,deaccession_date_year,deaccession_date_month,deaccession_date_day,deaccession_notes,recipient,transfer_notes,date_modified
1,1032,null,TRUE,Accessioned,60.63,TR5488/1,1960,10,10,long-neck vase with cup mouth,null,null,100-220,100,220,null,null,null,null,Eastern Han dynasty,Containers,green glazed stoneware,null,null,null,17-1/4 in.,Gift of Mr. and Mrs. Eli Lilly,Public Domain,"(Jan W.A. Kleijkamp); purchased by Eli Lilly, Indianapolis, Indiana, May 1950 ( list noting 15 November 1950 $950.); given to the John Herron Art Institute, now the Indianapolis Museum of Art, in 1960.",1,FALSE,1,null,null,null,null,null,null,null,null,2021-10-25
2,1065,null,TRUE,Accessioned,14.55,null,1914,2,19,The Bachelor Boudoir (Corner of the Studio),null,null,about 1883,1882,1883,null,null,null,null,null,Visual Works: Paintings,oil on canvas,painting,null,"Signed, l.r.: C FISCUS",27-1/4 x 16-1/4 in. (canvas)\n34-3/4 x 24-3/4 x 4 in. (framed),"Gift of the Artist's mother, Mrs. E.J. Fiscus",Public Domain,null,2,FALSE,2,null,null,null,null,null,null,null,null,2022-05-16
3,21137,80085,TRUE,Accessioned,06.137,null,1906,5,1,Hakone,The Fifty-three Stations of the T^okaid^o,null,1833-1834,1833,1834,null,null,null,Edo,null,Visual Works: Prints,"ink on paper, color woodblock print",woodcutting,null,Signed by artist: Hiroshige ga\nPublisher's mark: Hōeidō (Takenouchi Magohachi)\nSeal with subtitle: Kosuizu\nInscribed: title and series title,"9 x 13-15/16 in. (image, sheet trimmed to image on all sides)",John Herron Fund,Public Domain,"Purchased by the John Herron Art Institute, Indianapolis, Indiana, now the Indianapolis Museum of Art at Newfields, in 1906.",3,FALSE,3,null,null,null,null,null,null,null,null,2022-06-07
4,52481,null,TRUE,Accessioned,44.91,TR4585/9ab,1944,6,20,Spring snow on Sumida River 隅田川　春雪,null,Amusement of the Eastern Capital  狂歌東遊  (Ehon Azuma asobi),about 1802,1797,1807,null,null,null,Edo,null,Visual Works: Prints,color woodblock print,null,null,Kyoka poem,8-3/4 x 12 in.,Gift of Charles C. Kryter,No Known Rights Holder,null,3,FALSE,4,null,null,null,null,null,null,null,null,2022-02-22
5,82696,null,TRUE,Accessioned,2013.443A-E.4,TR11707A-E.4,2013,12,12,Five Brushstrokes,null,null,fabricated 2012,2012,2012,1983-1984,1983,1984,null,null,Visual Works: Sculpture,painted aluminum,null,null,"rf Lichtenstein 83-84 AP <copyright> The Roy Lichtenstein Foundation, 2012",Element A) 372 x 36 x 11 in.\nElement B) 98 x 357 x 10-1/4 in.\nElement C) 104 x 271 x 12 in.\nElement D) 228 x 100 x 11 in.\nElement E.1-.4) 480 x 77 x 15 in. (assembled),"Robert L. and Marjorie J. Mann Fund, Partial Gift of the Roy Lichtenstein Foundation",© Roy Lichtenstein Foundation,"(Roy Lichtenstein Foundation, New York, New York); purchased by the Indianapolis Museum of Art in 2013.",4,TRUE,5,null,null,null,null,null,null,null,null,2021-02-11
6,47035,null,TRUE,Accessioned,08.19,null,1908,null,null,Statue of Augustus Caesar,null,null,before 1908,null,1908,null,null,null,null,null,Visual Works: Sculpture,plaster cast,casting,Roman,null,87 in.,Gift of Mary E. Nicholson,Public Domain,null,2,FALSE,6,null,null,null,null,null,null,null,null,2022-04-26
7,64017,null,TRUE,Accessioned,2007.4A-B,TR10523/3A-B,2007,4,10,pair of earplugs (for man or woman),null,null,mid-20th century,1920,1960,null,null,null,null,null,Costume Accessories,"wood, synthetic resin, metal tacks",null,null,null,1/2 x 2 (diam.) in.,General Memorial Art Fun,No Known Rights Holder,"Probably with (Rhoda Levinsohn, Cleveland, Ohio) by 1983;[1] (Axis Gallery, West Orange, New Jersey) in 2000; purchased by the Indianapolis Museum of Art, Indianapolis, Indiana in 2007.\n\n[1] Information provided by Gary van Wyk, Axis Gallery, New York.",5,TRUE,7,null,null,null,null,null,null,null,null,2020-04-10
8,64018,null,FALSE,Accessioned,2007.4A,TR10523/3A,2007,4,10,earplug,null,null,1950-1970,1950,1970,null,null,null,null,null,Costume Accessories,"wood, synthetic resin, metal",null,null,null,1/2 x 2 (diam.) in.,General Memorial Art Fun,No Known Rights Holder,"Probably with (Rhoda Levinsohn, Cleveland) by 1983;[1] (Axis Gallery, West Orange, New Jersey) in 2000; acquired by IMA in 2007.\n\n[1] Information provided by Gary van Wyk, Axis Gallery, New York.",5,TRUE,7,64017,null,null,null,null,null,null,null,2020-04-02
9,64019,null,FALSE,Accessioned,2007.4B,TR10523/3B,2007,4,10,earplug (for man or woman),null,null,1920-1960,1920,1960,null,null,null,null,null,Costume Accessories,"wood, synthetic resin, metal tacks",null,null,null,1/2 x 2 (diam.) in.,General Memorial Art Fun,No Known Rights Holder,"Probably with (Rhoda Levinsohn, Cleveland) by 1983;[1] (Axis Gallery, West Orange, New Jersey) in 2000; acquired by IMA in 2007.\n\n[1] Information provided by Gary van Wyk, Axis Gallery, New York.",5,TRUE,7,64017,null,null,null,null,null,null,null,2020-04-02
10,21444,null,TRUE,Accessioned,27.25,TR941/2,1927,10,18,Souvenir de la Scheideges,null,null,19th century,1801,1900,null,null,null,null,null,Visual Works: Prints,lithograph on chine collé,lithography,null,"Inscribed in plate above image: Oeuvres de A. Calame\nInscribed in plate below image: Imp. Jacomme & Cie R. de Lancry, 18 Paris, du Cabinet de M. Mussard Cons. d' Etat'. F. Delarue Editeur, rue J. J. Rousseau, 18, Paris\nSigned in plate: 1094 B. A. Calame - 7ime Livraison - 1853 - No. 7",7-1/8 x 9-1/8 in. (image)\n12 x 18 in. (sheet),Anonymous Gift,Public Domain,null,6,FALSE,8,null,null,null,null,null,null,null,null,2020-12-14
