party_id,emu_irn,party_type,full_name,title,first_name,middle_name,last_name,suffix,gender,nationality,birth_date,birth_place,death_date,death_place,organization_name,commencement_date,completion_date,collaboration_name,acronym,date_modified
1,733,Registration Verified,Charles J. Fiscus,null,Charles,J.,Fiscus,null,Male,American,1861,null,1884,null,null,null,null,null,null,2022-02-18
2,9711,IMA Staff,Leslie Anderson-Perkins,null,Leslie,null,Anderson-Perkins,null,Female,null,null,null,null,null,null,null,null,null,null,2022-03-02
3,592,Person,Utagawa Hiroshige,null,null,null,Utagawa Hiroshige 歌川広重,null,Male,Japanese,1797,null,1858,null,null,null,null,null,null,2022-06-08
4,2515,Registration Verified,null,null,null,null,H^oeid^o,null,Unknown,null,null,null,null,null,null,null,null,null,null,2019-01-09
5,2514,Registration Verified,Takenouchi Magohachi,null,null,null,Takenouchi Magohachi,null,null,null,null,null,null,null,null,null,null,null,null,2019-01-09
6,11362,Person,Katsushika Hokusai 葛飾北斎,null,null,null,Katsushika Hokusai 葛飾北斎,null,Male,Japanese,1760,null,1849,null,null,null,null,null,null,2019-01-09
7,613279,Place Holder,Roy Lichtenstein,null,Roy,null,Lichtenstein,null,Male,American,1923,null,1997,null,null,null,null,null,null,2022-06-08
8,2741,Registration Verified,Unknown,null,null,null,Unknown,null,null,null,null,null,null,null,null,null,null,null,null,2019-05-09
9,601,Place Holder,Alexandre Calame,null,Alexandre,null,Calame,null,Male,Swiss,1810,null,1864,null,null,null,null,null,null,2019-01-09
10,14044,Organisation,Jacomme & Cie,null,null,null,null,null,null,null,null,null,null,null,Jacomme & Cie,null,null,null,null,2020-12-14
11,12095,Person,François Delarue,null,François,null,Delarue,null,Male,French,null,null,null,null,null,circa 1850's,circa 1860's,null,null,2019-01-09
12,600739,Place Holder,Hieronymus Bosch,null,Hieronymus,null,Bosch,null,Male,Netherlandish,1450,null,1516,null,null,null,null,null,null,2022-06-08
13,615130,Person,Robert Indiana,null,Robert,null,Indiana,null,Male,American,1928,"New Castle, Indiana",2018,"Vinalhaven, Maine",null,null,null,null,null,2022-06-08
14,10433,Organisation,"Lippincott, LLC",null,null,null,null,null,Unknown,American,null,null,null,null,"Lippincott, LLC",1966,null,null,null,2019-02-18
15,610521,Place Holder,James Thornhill,null,James,null,Thornhill,null,Male,British,1675,null,1734,null,null,null,null,null,null,2016-08-17
16,619988,Place Holder,Jonathan Richardson the elder,null,Jonathan,null,Richardson,the elder,Male,British,1665,null,1745,null,null,null,null,null,null,2019-01-09
17,14152,Organisation,Lilly House and Gardens,null,null,null,null,null,null,null,null,null,null,null,Lilly House and Gardens,null,null,null,null,2021-07-19
