eevents_key,irn,AdmPublishWebNoPassword,EveEventNumber,EveTypeOfEvent,EveExhibitionStatus,EveEventTitle,EveEventDescription,EveInternalOrExternalEvent,DatCommencementDate,DatCompletionDate,SecRecordStatus,AdmDateModified,,,,,,,,,,,,,
1,88,Yes,EX_IMAC,Exhibition,,May exhibition objects,May exhibition objects,,,,,9/12/2013,,,,,,,,,,,,,
2,3390,Yes,EX1883.1,Exhibition,Completed,Loan Exhibition: 1st Annual Exhibition of the Art Association of Indianapolis,"Art Rooms in the English Hotel (English Block) in the corner rooms on the first floor
453 paintings were exhibited.",Internal,1883-11-07,1883-11-30,,1/17/2017,,,,,,,,,,,,,
3,3389,Yes,EX1884.1,Exhibition,Completed,Exhibit of Pottery,,Internal,1884-11-18,1884-11-18,,2/29/2016,,,,,,,,,,,,,
4,3381,Yes,EX1885.1,Exhibition,Completed,Loan Exhibit,,Internal,1885-01-01,1885-01-31,,2/29/2016,,,,,,,,,,,,,
5,3386,Yes,EX1885.2,Exhibition,Completed,Loan Exhibit,,Internal,1885-11-01,1885-11-30,,2/29/2016,,,,,,,,,,,,,
6,3409,Yes,EX1885.3,Exhibition,Completed,Exhibit of Pottery and Embroideries,,Internal,1885-03-17,1885-03-17,,2/29/2016,,,,,,,,,,,,,
7,3425,Yes,EX1885.4,Exhibition,Completed,Ye Hoosier Colony in Munchen: 2nd Annual Exhibition of the Art Association of Indianapolis,,Internal,1885-05-01,1885-05-31,,4/13/2016,,,,,,,,,,,,,
8,3392,Yes,EX1886.1,Exhibition,Completed,Paintings and Studies of Mr. T. C. Steele,,Internal,1886-11-09,1886-11-09,,2/29/2016,,,,,,,,,,,,,
9,3417,Yes,EX1886.2,Exhibition,Completed,Etchings,,Internal,1886-04-15,1886-04-15,,2/29/2016,,,,,,,,,,,,,
10,3423,Yes,EX1886.3,Exhibition,Completed,3rd Annual Exhibition of the Art Association of Indianapolis,,Internal,1886-04-26,1886-05-17,,9/15/2022,,,,,,,,,,,,,
11,3382,Yes,EX1887.1,Exhibition,Completed,Embroideries and Laces,,Internal,1887-01-11,1887-01-11,,2/29/2016,,,,,,,,,,,,,
12,3391,Yes,EX1887.2,Exhibition,Completed,Etchings and Paintings,,Internal,1887-11-07,1887-11-07,,2/29/2016,,,,,,,,,,,,,
