irn,EventID,Type,Status,Title,Section,Commenced,Completed,Description,Locality,Organizer,Curator,Designer,ObjectIDs
3390,EX1883.1,Exhibition,Completed,"Loan Exhibition: 1st Annual Exhibition of the Art Association of Indianapolis","English Hotel, Indianapolis, Indiana",1883-11-07,1883-11-30,"Art Rooms in the English Hotel (English Block) in the corner rooms on the first floor\453 paintings were exhibited.",Internal,"","","",16482 | 14113 | 
3389,EX1884.1,Exhibition,Completed,"Exhibit of Pottery","The residence of Miss Mary Dean, Indianapolis",1884-11-18,1884-11-18,"",Internal,"","","",
3381,EX1885.1,Exhibition,Completed,"Loan Exhibit","Indianapolis",1885-01-01,1885-01-31,"",Internal,"","","",
3386,EX1885.2,Exhibition,Completed,"Loan Exhibit","Indianapolis",1885-11-01,1885-11-30,"",Internal,"","","",
3409,EX1885.3,Exhibition,Completed,"Exhibit of Pottery and Embroideries","The residence of Mrs. May Wright Sewell, Indianapolis",1885-03-17,1885-03-17,"",Internal,"","","",
3425,EX1885.4,Exhibition,Completed,"Ye Hoosier Colony in Munchen: 2nd Annual Exhibition of the Art Association of Indianapolis","Old Plymouth Church, Indianapolis",1885-05-01,1885-05-31,"",Internal,"","","",30111 | 43292 | 33470 | 83877 | 25689 | 
3392,EX1886.1,Exhibition,Completed,"Paintings and Studies of Mr. T. C. Steele","Indianapolis",1886-11-09,1886-11-09,"",Internal,"","","",
3417,EX1886.2,Exhibition,Completed,"Etchings","The residence of Mrs. May Wright Sewall, Indianapolis",1886-04-15,1886-04-15,"",Internal,"","","",
3423,EX1886.3,Exhibition,Completed,"3rd Annual Exhibition of the Art Association of Indianapolis","Masonic Hall, Indianapolis, Indiana",1886-04-26,1886-05-17,"",Internal,"","","",22760 | 14113 | 3881 | 2205 | 32213
3382,EX1887.1,Exhibition,Completed,"Embroideries and Laces","The Bates House, Indianapolis",1887-01-11,1887-01-11,"",Internal,"","","",
3391,EX1887.2,Exhibition,Completed,"Etchings and Paintings","(Old) 24 1/2 East Washington St., Indianapolis",1887-11-07,1887-11-07,"",Internal,"","","",
3397,EX1887.3,Exhibition,Completed,"American Pottery","(Old) 24 1/2 East Washington St., Indianapolis",1887-12-13,1887-12-13,"",Internal,"","","",
3413,EX1887.4,Exhibition,Completed,"Original Designs and Rookwood Pottery","The residence of Mrs. Laura Fletcher Hodges, Indianapolis",1887-03-08,1887-03-08,"",Internal,"","","",
3419,EX1887.5,Exhibition,Completed,"4th Annual Exhibition of the Art Association of Indianapolis","Masonic Hall, Indianapolis, Indiana",1887-04-18,1887-05-17,"",Internal,"","","",14113 | 3881 | 16482 | 32213
3393,EX1888.1,Exhibition,Completed,"Pottery and China","The residence of Mrs. Myla Fletcher Ritzinger",1888-12-11,1888-12-13,"",Internal,"","","",
3403,EX1888.2,Exhibition,Completed,"English Pottery and Decorative Draperies","(Old) 24 1/2 East Washington St., Indianapolis",1888-02-14,1888-02-14,"",Internal,"","","",
3429,EX1888.3,Exhibition,Completed,"Collection of American Paintings: 5th Annual Exhibition of the Art Association of Indianapolis","(Old) 33 South Meridian Street, Indianapolis, Indiana",1888-05-09,1888-05-30,"",Internal,"","","",33609 | 37383 | 16482 | 3881 | 22760 | 87369 | 14113 | 32213
3398,EX1889.1,Exhibition,Completed,"Pottery","The residence of Mrs. John R. Hussey",1889-12-04,1889-12-06,"",Internal,"","","",
