irn,LegalStatus,AccessionNo,Title,Creators,Culture,RecordType,MediumSupport,CreditLine,SummaryData,Publish,DagwoodID
"10006","Accessioned","40.250","Magnolia","Artist, after: Pierre J. Redouté (French, 1759 - 1840)","","Visual Works: Prints","ink on paper, color stipple engraving","Carl H. Lieber Memorial Fund","[40.250] *Magnolia*, Redouté, Pierre Joseph",Yes,58046
"10036","Accessioned","72.133","Washington Street, Indianapolis at Dusk","Artist: Theodor Groll (German, 1857 - 1913)","","Visual Works: Paintings","oil on canvas","Gift of a Couple of Old Hoosiers","[72.133] *Washington Street, Indianapolis at Dusk*, Groll, Theodor",Yes,34408
"10045","Loan Exhibition","TR6959/31","","Artist: Adja Yunkers (American, born Latvian, 1900 - 1983)","","Visual Works: Prints","lithograph","Lent by Garo Antreasian","Returned - [TR6959/31], Yunkers, Adja",No,3967
"10048","Loan Exhibition","TR10949/5D","Eight (8) bags of fabric curtains for Eve Sussman & The Rufus Corporation's The Rape of the Sabine Women","artist: Eve Sussman (American, 1961 - )\\Creator: The Rufus Corporation (American)","","Visual Works: Multimedia","","The Rape of the Sabine Women is a Rufus Corportation production generously funded by Hauptstadtkulturfonds-Berlin, Hamburger Banhof-Berlin, the J F Costopoulos Foundation-Athens, Richard Massey, Ninah and Michael Lynne and Roebling Hall Gallery-New York.  Additional CoProduction support has been provided by the Nasher Museum of Art at Duke University, Arario Gallery-Seoul, Korea, the New York State Council on the Arts and the Smart Museum of Art-University of Chicago, Corporate sponsorship has been provided by Panavision-London, HD Cinema, Ordino Casting Services-Greece, Microtech Gefell-Germany, Apple Computer Inc, DuArt Film & Video, LaCie USA, Sony Professional Media, Dreamhire LLC., Panasonic, Tekserve, Coca-cola-Hellenic Bottling Company, Merc Clothing-London and MAC Cosmetics.  (For expanded credits, see exhibition file.)","Returned - [TR10949/5D] *Eight (8) bags of fabric curtains for Eve Sussman & The Rufus Corporation's The Rape of the Sabine Women*, Sussman, Eve, The Rufus Corporation",No,28607
"10052","Accessioned","62.17","El si pronuncian y la mano alargan Al primero aue llega (They say yes and give themselves to the first one who comes along), Plate 2","Artist: Francisco José de Goya y Lucientes (Spanish, 1746 - 1828)","","Visual Works: Prints","ink on paper, etching and aquatint","Daniel P. Erwin Fund, Jacob Metzger Fund, Grace Miller Memorial Fund, Delavan Smith Fund, James V. Sweetser Fund","[62.17] *El si pronuncian y la mano alargan Al primero aue llega (They say yes and give themselves to the first one who comes along), Plate 2*, Francisco José de Goya y Lucientes",Yes,68141
"10059","Accessioned","62.52","Si sabrà mas el discipulo? (Might not the pupil know more?), Plate 37","Artist: Francisco José de Goya y Lucientes (Spanish, 1746 - 1828)","","Visual Works: Prints","etching and aquatint","Daniel P. Erwin Fund, Jacob Metzger Fund, Grace Miller Memorial Fund, Delavan Smith Fund, James V. Sweetser Fund","[62.52] *Si sabrà mas el discipulo? (Might not the pupil know more?), Plate 37*, Francisco José de Goya y Lucientes",Yes,68152
"10102","Accessioned","80.1788","Ship and Cutter","Artist: Joseph Mallord William Turner (English, 1775 - 1851)","","Visual Works: Prints","mezzotint","Bequest of Kurt F. Pantzer","[80.1788] *Ship and Cutter*, Turner, Joseph Mallord William",Yes,71006
"10110","Accessioned","19.109","woman's hat","","Yurok people\\Wiyot people\\Karok people\\Hupa people","Costume Accessories","plant fiber","Gift of Mrs. William C. Bobbs","[19.109] *woman's hat* - Yurok people - Wiyot people",Yes,42323
"10112","Accessioned","20.109","furnishing fabric; 'Strawberry Thief'","Designer: William Morris (English, 1834 - 1896)","","Furnishings","cotton, indigo-discharged and block printed","Gift of Miss Charity Dye","[20.109] *furnishing fabric; 'Strawberry Thief'*, Morris, William",Yes,56138
"10112","Accessioned","20.109","furnishing fabric; 'Strawberry Thief'","Designer: William Morris (English, 1834 - 1896)","","Furnishings","cotton, indigo-discharged and block printed","Gift of Miss Charity Dye","[20.109] *furnishing fabric; 'Strawberry Thief'*, Morris, William",Yes,56138
"10112","Accessioned","20.109","furnishing fabric; 'Strawberry Thief'","Designer: William Morris (English, 1834 - 1896)","","Furnishings","cotton, indigo-discharged and block printed","Gift of Miss Charity Dye","[20.109] *furnishing fabric; 'Strawberry Thief'*, Morris, William",Yes,56138
"10112","Accessioned","20.109","furnishing fabric; 'Strawberry Thief'","Designer: William Morris (English, 1834 - 1896)","","Furnishings","cotton, indigo-discharged and block printed","Gift of Miss Charity Dye","[20.109] *furnishing fabric; 'Strawberry Thief'*, Morris, William",Yes,56138
"10117","Accessioned","76.229","beaded bag","","possibly Plateau people","Containers","leather, glass beads, elk's tooth","Emma Harter Sweetser Fund","[76.229] *beaded bag* - Plateau people",Yes,26686
"1015","Accessioned","1998.307","Progression II","Artist: Doris Seidler (American, 1912 - )","","Visual Works: Prints","etching and block print","Gift of Dr. Steven Conant in honor of Mrs. H. L. Conant and Miss Joan D. Weisenberger","[1998.307] *Progression II*, Seidler, Doris",Yes,75544
"10174","Accessioned","73.70.25A-C","double-cased watch and fob","Maker: Edward Ellicott (British, 1758 - 1791)","","Measuring Devices","gold chased, enameled, Basse Taille enamel, pearls/diamonds","Ruth Allison Lilly Watch Collection","[73.70.25A-C] *double-cased watch and fob*, Ellicott, Edward",Yes,25320
"10179","Accessioned","1993.29","Private Enterprise","Artist: Joseph Hirsch (American, 1910 - 1981)","","Visual Works: Prints","lithograph","Gift of Dr. Mary Root","[1993.29] *Private Enterprise*, Hirsch, Joseph",Yes,11365
"10183","Accessioned","1993.30","Going Home","Artist: Georges Schreiber (American, 1904 - 1977)","","Visual Works: Prints","lithograph","Gift of Dr. Mary Root","[1993.30] *Going Home*, Schreiber, Georges",Yes,11366
"10184","Returned","TR9111/5A-B.3","hat with matching purse","Retailer: Marshall Field & Company (American)","","Costume Accessories","zebra skin, leather, yarn, metal","Collection of Linda C. McMurray","Returned - [TR9111/5A-B.3] *hat with matching purse*, Marshall Field & Company",No,2730
"10186","Loan Exhibition","TR6959/4","","Artist: Clinton Adams (American, 1918 - )","","Visual Works: Prints","lithograph","Lent by Garo Antreasian","Returned - [TR6959/4], Adams, Clinton",No,3940
"10193","Accessioned","33.281","hanging (arid)","","","Furnishings","linen embroidered with silk and metallic threads","The Eliza M. and Sarah L. Niblack Collection","[33.281] *hanging (arid)* - Moroccan",Yes,20739
"10198","Accessioned","32.194","bolero","","","Costume","velvet, steel, lace","Gift of Mrs. Addison C. Harris","[32.194] *bolero* - American",Yes,77612
